date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:53	42/42	---M--	200	added ('OK')	text/plain	etag:W/%222a-1931b826658%22	https://nbackchallenge.com/robots.txt		(from )
20:47:54	63727/63727	---MCZ	200	added ('OK')	text/html	etag:%22d0cs6j1d651d61%22	https://nbackchallenge.com/	./vocab/nbackchallenge.com/index.html	(from )
20:47:55	78548/78548	---M--	200	added ('OK')	image/png	etag:W/%22132d4-1931b826658%22	https://nbackchallenge.com/images/ogLandingPage.png	./vocab/nbackchallenge.com/images/ogLandingPage.png	(from https://nbackchallenge.com/)
20:47:56	185936/185936	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d650-1931b826658%22	https://nbackchallenge.com/images/iPhoneScreens.svg	./vocab/nbackchallenge.com/images/iPhoneScreens.svg	(from https://nbackchallenge.com/)
20:47:57	297/297	---M--	200	added ('OK')	image/svg+xml	etag:W/%22129-1931b826658%22	https://nbackchallenge.com/images/burger.svg	./vocab/nbackchallenge.com/images/burger.svg	(from https://nbackchallenge.com/)
20:47:58	389995/389995	---MC-	200	added ('OK')	application/javascript	date:Sun,%2009%20Mar%202025%2020:47:56%20GMT	https://www.googletagmanager.com/gtag/js?id=G-5DXF7LT0NW	./vocab/www.googletagmanager.com/gtag/js3479	(from https://nbackchallenge.com/)
20:47:58	334/334	---M--	200	added ('OK')	image/svg+xml	etag:W/%2214e-1931b826658%22	https://nbackchallenge.com/images/burgerCloseIcon.svg	./vocab/nbackchallenge.com/images/burgerCloseIcon.svg	(from https://nbackchallenge.com/)
20:47:59	743/743	---M--	200	added ('OK')	image/svg+xml	etag:W/%222e7-1931b826658%22	https://nbackchallenge.com/images/nbc.svg	./vocab/nbackchallenge.com/images/nbc.svg	(from https://nbackchallenge.com/)
20:48:01	1678/1678	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268e-1931b826658%22	https://nbackchallenge.com/images/appleGrey.svg	./vocab/nbackchallenge.com/images/appleGrey.svg	(from https://nbackchallenge.com/)
20:48:01	762/762	---M--	200	added ('OK')	image/svg+xml	etag:W/%222fa-1931b826658%22	https://nbackchallenge.com/images/playStoreGrey.svg	./vocab/nbackchallenge.com/images/playStoreGrey.svg	(from https://nbackchallenge.com/)
20:48:03	98868/98868	---M--	200	added ('OK')	font/woff2	etag:W/%2218234-1931b826658%22	https://nbackchallenge.com/fonts/Inter-Regular.woff2	./vocab/nbackchallenge.com/fonts/Inter-Regular.woff2	(from https://nbackchallenge.com/)
20:48:04	105924/105924	---M--	200	added ('OK')	font/woff2	etag:W/%2219dc4-1931b826658%22	https://nbackchallenge.com/fonts/Inter-Medium.woff2	./vocab/nbackchallenge.com/fonts/Inter-Medium.woff2	(from https://nbackchallenge.com/)
20:48:05	106140/106140	---M--	200	added ('OK')	font/woff2	etag:W/%2219e9c-1931b826658%22	https://nbackchallenge.com/fonts/Inter-Bold.woff2	./vocab/nbackchallenge.com/fonts/Inter-Bold.woff2	(from https://nbackchallenge.com/)
20:48:06	105804/105804	---M--	200	added ('OK')	font/woff2	etag:W/%2219d4c-1931b826658%22	https://nbackchallenge.com/fonts/Inter-SemiBold.woff2	./vocab/nbackchallenge.com/fonts/Inter-SemiBold.woff2	(from https://nbackchallenge.com/)
20:48:06	195/195	---M--	200	added ('OK')	application/manifest+json	etag:W/%22c3-1931b826658%22	https://nbackchallenge.com/manifest.webmanifest	./vocab/nbackchallenge.com/manifest.webmanifest	(from https://nbackchallenge.com/)
20:48:08	5430/5430	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221536-1931b826658%22	https://nbackchallenge.com/favicon.ico	./vocab/nbackchallenge.com/favicon.ico	(from https://nbackchallenge.com/)
20:48:08	635/635	---M--	200	added ('OK')	image/svg+xml	etag:W/%2227b-1931b826658%22	https://nbackchallenge.com/icon.svg	./vocab/nbackchallenge.com/icon.svg	(from https://nbackchallenge.com/)
20:48:09	1533/1533	---M--	200	added ('OK')	image/png	etag:W/%225fd-1931b826658%22	https://nbackchallenge.com/apple-touch-icon.png	./vocab/nbackchallenge.com/apple-touch-icon.png	(from https://nbackchallenge.com/)
20:48:11	5870/5870	---MCZ	200	added ('OK')	text/css	etag:W/%2216ee-1931c2c7968%22	https://nbackchallenge.com/_next/static/css/49a04fb6dd936701.css	./vocab/nbackchallenge.com/_next/static/css/49a04fb6dd936701.css	(from https://nbackchallenge.com/)
20:48:12	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-1931c2c7968%22	https://nbackchallenge.com/_next/static/chunks/polyfills-42372ed130431b0a.js	./vocab/nbackchallenge.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://nbackchallenge.com/)
20:48:13	3849/3849	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f09-1931c2c7968%22	https://nbackchallenge.com/_next/static/chunks/webpack-6e7a34c5a4e150dd.js	./vocab/nbackchallenge.com/_next/static/chunks/webpack-6e7a34c5a4e150dd.js	(from https://nbackchallenge.com/)
20:48:14	140033/140033	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222301-1931c2c7968%22	https://nbackchallenge.com/_next/static/chunks/framework-e9c2361246278a7b.js	./vocab/nbackchallenge.com/_next/static/chunks/framework-e9c2361246278a7b.js	(from https://nbackchallenge.com/)
20:48:15	140144/140144	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222370-1931c2c7968%22	https://nbackchallenge.com/_next/static/chunks/main-aa8f9822d34a3ffb.js	./vocab/nbackchallenge.com/_next/static/chunks/main-aa8f9822d34a3ffb.js	(from https://nbackchallenge.com/)
